epoch,Noiseless_acc_test,Proposed_acc_test,NoDS_acc_test,NoRIS_acc_test,DC_full_acc_test
1,0.0984,0.0984,0.0984,0.0984,0.0984
2,0.0809,0.0761,0.1008,0.1086,0.1004
3,0.0595,0.0352,0.0815,0.0808,0.0679
4,0.0642,0.0455,0.1108,0.0617,0.0376
5,0.0666,0.0466,0.0834,0.1495,0.0555
6,0.0627,0.035,0.0848,0.1091,0.0765
7,0.0611,0.0437,0.0902,0.1155,0.0377
8,0.0657,0.0747,0.0855,0.1048,0.0836
9,0.071,0.0649,0.1048,0.0922,0.0904
10,0.0796,0.0799,0.069,0.1207,0.0987
11,0.0884,0.0959,0.1093,0.1191,0.0931
12,0.1049,0.1099,0.1171,0.1638,0.1044
13,0.1231,0.0811,0.106,0.1696,0.0794
14,0.1399,0.132,0.1149,0.1523,0.0976
15,0.1596,0.1427,0.1019,0.1463,0.1061
16,0.1757,0.137,0.1086,0.1665,0.1221
17,0.196,0.1321,0.0972,0.1831,0.1337
18,0.2197,0.1272,0.0968,0.1852,0.1339
19,0.2392,0.1545,0.0959,0.1771,0.1163
20,0.2582,0.1474,0.1041,0.1432,0.0761
21,0.2717,0.1172,0.1247,0.1359,0.0847
22,0.2845,0.0892,0.13,0.1245,0.0969
23,0.2977,0.0603,0.1823,0.1286,0.1317
24,0.3121,0.0875,0.1823,0.199,0.1035
25,0.3243,0.0711,0.1853,0.157,0.0758
26,0.3381,0.079,0.1811,0.1805,0.0809
27,0.3594,0.0813,0.1352,0.2073,0.1373
28,0.3355,0.0544,0.1389,0.2337,0.137
29,0.3668,0.1165,0.1434,0.2092,0.1414
30,0.3848,0.1261,0.1385,0.1892,0.1271
31,0.294,0.1198,0.1561,0.1887,0.0924
32,0.3542,0.1201,0.1614,0.148,0.1017
33,0.371,0.131,0.1683,0.1514,0.1074
34,0.3842,0.1175,0.1404,0.1962,0.1022
35,0.3954,0.1391,0.1276,0.2037,0.1196
36,0.4025,0.1359,0.1281,0.1993,0.1209
37,0.4099,0.1576,0.1424,0.1911,0.121
38,0.4162,0.1448,0.1801,0.1967,0.1331
39,0.4218,0.1801,0.1529,0.1869,0.1313
40,0.4255,0.1576,0.1743,0.1065,0.1308
41,0.4283,0.1747,0.1698,0.159,0.1079
42,0.432,0.1602,0.1739,0.1574,0.1242
43,0.4345,0.1468,0.1841,0.1636,0.1274
44,0.4368,0.0881,0.1392,0.1216,0.1293
45,0.4399,0.1543,0.1522,0.1522,0.0893
46,0.4414,0.1096,0.1388,0.1366,0.0516
47,0.4434,0.1754,0.1542,0.1303,0.0795
48,0.4462,0.2244,0.1454,0.1421,0.1373
49,0.4459,0.1728,0.1444,0.1208,0.1455
50,0.4477,0.16,0.1229,0.1472,0.0454
51,0.4494,0.1836,0.1397,0.1641,0.0792
52,0.4517,0.1932,0.1793,0.1559,0.1088
53,0.4534,0.1846,0.1727,0.1554,0.1367
54,0.4551,0.1855,0.2095,0.1126,0.1362
55,0.4577,0.2148,0.212,0.1233,0.0876
56,0.4595,0.2168,0.1961,0.1016,0.098
57,0.462,0.2245,0.1519,0.0836,0.0695
58,0.4636,0.2212,0.2373,0.076,0.0669
59,0.4655,0.2118,0.1944,0.0428,0.0655
60,0.4676,0.2062,0.2107,0.0979,0.1029
61,0.4702,0.2106,0.222,0.0886,0.0948
62,0.4724,0.214,0.2393,0.0876,0.0737
63,0.475,0.2369,0.1913,0.0887,0.0969
64,0.4781,0.2302,0.1946,0.0887,0.169
65,0.479,0.2315,0.136,0.054,0.0508
66,0.4804,0.2262,0.1703,0.0673,0.0607
67,0.4827,0.2284,0.1613,0.1002,0.1606
68,0.4835,0.2269,0.1447,0.166,0.1597
69,0.4858,0.2372,0.187,0.1513,0.1417
70,0.4884,0.2486,0.1748,0.1297,0.2517
71,0.4898,0.2659,0.1697,0.1289,0.1763
72,0.492,0.2931,0.2039,0.113,0.2279
73,0.4948,0.3285,0.2158,0.0914,0.1931
74,0.4967,0.2955,0.2122,0.1288,0.2163
75,0.499,0.2826,0.1874,0.0923,0.2179
76,0.5,0.2793,0.1729,0.1681,0.1605
77,0.5023,0.2963,0.2193,0.1335,0.1253
78,0.5046,0.2892,0.1836,0.1581,0.1358
79,0.5055,0.2921,0.1482,0.0956,0.1238
80,0.5089,0.3035,0.1283,0.1207,0.0997
81,0.5125,0.2961,0.128,0.0831,0.1001
82,0.515,0.2718,0.1684,0.0773,0.0771
83,0.5201,0.2539,0.1306,0.0966,0.1564
84,0.5218,0.2607,0.1427,0.1215,0.1252
85,0.524,0.2893,0.2137,0.1123,0.0686
86,0.5272,0.2813,0.2067,0.119,0.1062
87,0.529,0.283,0.2058,0.1336,0.1012
88,0.5302,0.238,0.2097,0.1984,0.0782
89,0.5321,0.2545,0.1826,0.1079,0.0623
90,0.5348,0.2652,0.1481,0.1247,0.0823
91,0.5364,0.2485,0.1354,0.1018,0.0806
92,0.5385,0.2592,0.1485,0.066,0.0967
93,0.5407,0.2984,0.1309,0.112,0.092
94,0.5431,0.2885,0.1168,0.1527,0.1159
95,0.5454,0.2826,0.0962,0.126,0.0925
96,0.548,0.2689,0.1056,0.1065,0.0969
97,0.5499,0.2654,0.1026,0.1462,0.1089
98,0.5516,0.259,0.0889,0.1363,0.0894
99,0.5532,0.2437,0.0964,0.1411,0.0749
100,0.5542,0.2326,0.1192,0.1461,0.1186
101,0.555,0.2396,0.1162,0.1182,0.1254
102,0.5566,0.2281,0.1199,0.0862,0.0612
103,0.5578,0.2104,0.1249,0.069,0.0836
104,0.5592,0.195,0.0954,0.0733,0.0865
105,0.5607,0.1845,0.1035,0.1067,0.0899
106,0.5629,0.2054,0.1893,0.0941,0.0694
107,0.5645,0.2166,0.157,0.0764,0.0716
108,0.5659,0.2278,0.1586,0.0791,0.0808
109,0.5669,0.2254,0.1837,0.1134,0.1099
110,0.5686,0.242,0.1842,0.115,0.0754
111,0.5695,0.2705,0.1591,0.0864,0.0832
112,0.5704,0.2605,0.1138,0.0824,0.0899
113,0.572,0.2622,0.1025,0.1097,0.0682
114,0.5734,0.2686,0.091,0.1072,0.1034
115,0.5736,0.2697,0.0929,0.0956,0.1074
116,0.574,0.3091,0.0786,0.1012,0.0956
117,0.5748,0.3202,0.0738,0.1102,0.0986
118,0.5765,0.3134,0.0803,0.0835,0.0715
119,0.5773,0.3064,0.0571,0.0618,0.0951
120,0.5782,0.3172,0.0785,0.0789,0.0921
121,0.5794,0.3292,0.1191,0.0891,0.0856
122,0.5805,0.3428,0.1293,0.0944,0.1023
123,0.5809,0.3369,0.133,0.1029,0.1035
124,0.582,0.3423,0.1143,0.0829,0.1013
125,0.5826,0.3469,0.1125,0.0727,0.1039
126,0.5833,0.378,0.1241,0.0517,0.1039
127,0.5834,0.4032,0.1153,0.0978,0.0939
128,0.585,0.3636,0.0954,0.0776,0.1238
129,0.5854,0.3349,0.0856,0.0855,0.0995
130,0.5854,0.3414,0.0808,0.0924,0.1151
131,0.5855,0.3483,0.0929,0.0943,0.0825
132,0.585,0.3218,0.124,0.0909,0.0915
133,0.5863,0.3234,0.1096,0.0964,0.0621
134,0.587,0.3335,0.1201,0.1292,0.0708
135,0.5874,0.3407,0.1279,0.1447,0.0875
136,0.5881,0.3239,0.1363,0.1481,0.0485
137,0.5893,0.2878,0.1321,0.1093,0.046
138,0.5903,0.2821,0.1337,0.108,0.0823
139,0.5917,0.2978,0.1319,0.1052,0.0932
140,0.5919,0.3184,0.1517,0.0611,0.0953
141,0.5932,0.3297,0.1219,0.0679,0.0885
142,0.5941,0.3334,0.1109,0.0583,0.0869
143,0.5945,0.337,0.0975,0.0715,0.1082
144,0.5941,0.325,0.0908,0.1059,0.1231
145,0.5967,0.3053,0.0818,0.1208,0.1295
146,0.5978,0.2867,0.0725,0.1128,0.0929
147,0.5987,0.2869,0.0711,0.076,0.1235
148,0.5985,0.2882,0.0689,0.106,0.0905
149,0.5996,0.2728,0.0819,0.1111,0.1148
150,0.6008,0.2833,0.0758,0.0964,0.1042
151,0.6015,0.2965,0.1101,0.1075,0.0687
152,0.6023,0.3037,0.0745,0.096,0.055
153,0.6044,0.3066,0.0958,0.0822,0.0643
154,0.6053,0.3061,0.0946,0.0794,0.0733
155,0.6054,0.372,0.1024,0.0934,0.0881
156,0.6065,0.3666,0.0766,0.0959,0.0918
157,0.6083,0.3735,0.0721,0.1003,0.0742
158,0.6092,0.3617,0.0895,0.1034,0.1195
159,0.6099,0.35,0.127,0.1015,0.0966
160,0.6103,0.3287,0.0591,0.101,0.1167
161,0.6118,0.3287,0.1383,0.1044,0.12
162,0.6126,0.2985,0.166,0.0997,0.1295
163,0.6132,0.3096,0.146,0.1261,0.1359
164,0.6139,0.2891,0.1301,0.1478,0.0945
165,0.615,0.2966,0.105,0.0963,0.1009
166,0.6155,0.316,0.1262,0.0818,0.157
167,0.6163,0.306,0.1393,0.0907,0.1619
168,0.6165,0.3208,0.1495,0.1096,0.1312
169,0.6168,0.3175,0.1394,0.0976,0.1147
170,0.6179,0.3017,0.0918,0.0822,0.1271
171,0.6188,0.3298,0.0884,0.0841,0.1368
172,0.619,0.323,0.1015,0.0773,0.166
173,0.6193,0.3152,0.1033,0.0811,0.1442
174,0.6207,0.3064,0.1055,0.0852,0.1858
175,0.6213,0.3269,0.1446,0.0765,0.1987
176,0.6222,0.3425,0.1595,0.0924,0.1512
177,0.6225,0.3711,0.1252,0.0756,0.1836
178,0.6232,0.3734,0.1253,0.0932,0.0777
179,0.6237,0.3694,0.1183,0.0839,0.084
180,0.6243,0.3627,0.1193,0.1008,0.0696
181,0.6255,0.3453,0.1043,0.1114,0.0751
182,0.626,0.355,0.0876,0.1282,0.0639
183,0.6268,0.3651,0.114,0.1467,0.0936
184,0.6278,0.3419,0.114,0.1237,0.0865
185,0.6282,0.3371,0.1134,0.1342,0.0914
186,0.6289,0.3246,0.1155,0.0821,0.097
187,0.6292,0.2994,0.1097,0.1166,0.1077
188,0.6299,0.2933,0.097,0.1361,0.1088
189,0.631,0.2401,0.082,0.1479,0.08
190,0.631,0.2773,0.091,0.1071,0.1002
191,0.6318,0.2881,0.0935,0.0965,0.0912
192,0.6321,0.2636,0.1077,0.1124,0.1083
193,0.6335,0.2673,0.1251,0.141,0.0969
194,0.6339,0.2711,0.1262,0.1349,0.0976
195,0.6344,0.3094,0.1409,0.1361,0.1033
196,0.6353,0.2836,0.1448,0.1433,0.1161
197,0.6359,0.2867,0.142,0.1414,0.1365
198,0.6363,0.2827,0.1466,0.1545,0.1193
199,0.6367,0.289,0.19,0.1458,0.0989
200,0.6371,0.2796,0.1453,0.1297,0.0878
201,0.6369,0.2503,0.2097,0.1416,0.09
202,0.6375,0.2444,0.1703,0.1642,0.0881
203,0.6385,0.2418,0.1638,0.16,0.105
204,0.6395,0.2233,0.1342,0.1545,0.0809
205,0.6398,0.2256,0.1101,0.1294,0.1044
206,0.6396,0.2324,0.099,0.1286,0.1219
207,0.6403,0.2372,0.0966,0.1077,0.1032
208,0.6401,0.2271,0.1259,0.1152,0.117
209,0.6405,0.2248,0.1036,0.1201,0.1097
210,0.6414,0.2437,0.1285,0.1123,0.104
211,0.6414,0.2173,0.1257,0.1471,0.1156
212,0.642,0.2134,0.1098,0.1152,0.1023
213,0.6418,0.2189,0.082,0.1126,0.0698
214,0.6422,0.2146,0.1011,0.1145,0.0941
215,0.6426,0.2376,0.0858,0.1349,0.0864
216,0.6429,0.2418,0.1229,0.1307,0.1092
217,0.6436,0.2292,0.1331,0.1488,0.12
218,0.644,0.2552,0.1146,0.1408,0.1088
219,0.6447,0.2511,0.1138,0.1153,0.0928
220,0.6451,0.2404,0.1459,0.1202,0.0568
221,0.6453,0.244,0.1377,0.0856,0.0871
222,0.6458,0.2513,0.1136,0.0567,0.0976
223,0.6465,0.2575,0.1183,0.0682,0.0971
224,0.6469,0.2721,0.1103,0.0675,0.0863
225,0.6479,0.2545,0.1275,0.0772,0.0663
226,0.6482,0.2601,0.1235,0.0623,0.1002
227,0.6481,0.2764,0.1584,0.0736,0.1321
228,0.6481,0.308,0.1563,0.0939,0.1375
229,0.6485,0.2806,0.1556,0.1251,0.1381
230,0.6488,0.2717,0.1348,0.1327,0.1314
231,0.6491,0.2948,0.132,0.1651,0.1347
232,0.6495,0.3226,0.1213,0.1118,0.1521
233,0.6498,0.3082,0.13,0.1103,0.1478
234,0.6505,0.3151,0.1314,0.0808,0.1377
235,0.6506,0.3073,0.1285,0.0978,0.1431
236,0.6512,0.2905,0.1158,0.0856,0.1004
237,0.6511,0.2998,0.1245,0.0928,0.0948
238,0.6523,0.33,0.1296,0.094,0.1232
239,0.6523,0.3499,0.1404,0.0852,0.1067
240,0.6533,0.3576,0.1262,0.0876,0.1015
241,0.6535,0.3276,0.125,0.0798,0.0621
242,0.655,0.3446,0.112,0.0983,0.0621
243,0.6551,0.3355,0.1085,0.111,0.0529
244,0.6555,0.3314,0.1265,0.1,0.0664
245,0.6559,0.3195,0.1316,0.1048,0.0697
246,0.6565,0.3067,0.1432,0.1154,0.0839
247,0.6569,0.3001,0.1244,0.1287,0.0782
248,0.6569,0.3,0.1316,0.1813,0.0985
249,0.6574,0.2775,0.0951,0.1495,0.0936
250,0.658,0.2539,0.0925,0.1781,0.0949
251,0.6585,0.242,0.1214,0.1776,0.104
252,0.6585,0.2764,0.1027,0.1619,0.1065
253,0.6586,0.2604,0.093,0.1249,0.1122
254,0.6588,0.234,0.0894,0.1268,0.1368
255,0.6593,0.2591,0.0615,0.1191,0.1375
256,0.6596,0.2805,0.0816,0.1,0.0938
257,0.6598,0.2633,0.0758,0.1471,0.0982
258,0.6602,0.3038,0.0562,0.1427,0.1149
259,0.6602,0.2956,0.0909,0.1242,0.1001
260,0.6608,0.2994,0.0888,0.1167,0.0849
261,0.6616,0.2737,0.0838,0.1246,0.1045
262,0.6618,0.2415,0.0866,0.1481,0.1039
263,0.6625,0.2778,0.0729,0.1119,0.081
264,0.6621,0.256,0.0682,0.0911,0.0633
265,0.6626,0.1967,0.0724,0.0917,0.102
266,0.6625,0.2094,0.0709,0.102,0.0781
267,0.6624,0.2318,0.0632,0.0589,0.0581
268,0.6631,0.2562,0.0797,0.0571,0.048
269,0.6627,0.2556,0.065,0.0905,0.0562
270,0.6636,0.2745,0.0612,0.1097,0.0555
271,0.6633,0.2996,0.0769,0.0725,0.0786
272,0.6637,0.3277,0.078,0.0897,0.0563
273,0.6644,0.3412,0.073,0.0757,0.0696
274,0.6647,0.3053,0.0612,0.083,0.0735
275,0.6652,0.277,0.0652,0.0789,0.0707
276,0.6662,0.2113,0.0566,0.0984,0.1117
277,0.6666,0.2519,0.059,0.0984,0.1574
278,0.6663,0.2197,0.0598,0.082,0.1604
279,0.6679,0.2707,0.0653,0.0857,0.134
280,0.6688,0.2547,0.0729,0.0812,0.1238
281,0.6686,0.2638,0.0784,0.0886,0.0825
282,0.6693,0.2166,0.0785,0.0863,0.1156
283,0.6699,0.2165,0.0879,0.0873,0.0919
284,0.67,0.1785,0.0862,0.0846,0.0938
285,0.6704,0.2168,0.0787,0.0915,0.0868
286,0.6708,0.1827,0.0751,0.0912,0.0914
287,0.6715,0.2147,0.0959,0.0886,0.093
288,0.6714,0.2376,0.0928,0.0849,0.0931
289,0.6717,0.2392,0.1005,0.0864,0.0875
290,0.672,0.2366,0.0905,0.0944,0.0848
291,0.6722,0.2015,0.0788,0.0997,0.087
292,0.6725,0.1982,0.0752,0.0945,0.0749
293,0.6732,0.1749,0.0737,0.0896,0.0639
294,0.6738,0.1515,0.0821,0.0737,0.0869
295,0.6742,0.1334,0.0864,0.0804,0.0822
296,0.6743,0.1547,0.0838,0.0822,0.081
297,0.6753,0.158,0.0665,0.0825,0.0884
298,0.6751,0.194,0.0752,0.0837,0.0978
299,0.676,0.1906,0.0848,0.0933,0.1053
300,0.676,0.1711,0.0905,0.0788,0.0905
301,0.6763,0.1832,0.0978,0.0877,0.1041
302,0.6773,0.1394,0.077,0.0665,0.0887
303,0.6776,0.1615,0.0755,0.055,0.087
304,0.6783,0.2129,0.0585,0.0604,0.0777
305,0.6783,0.2222,0.0635,0.0831,0.0921
306,0.6785,0.2026,0.0582,0.0865,0.0773
307,0.6781,0.2234,0.0549,0.1131,0.0681
308,0.6788,0.229,0.0651,0.0967,0.0777
309,0.6789,0.2091,0.0729,0.0719,0.0868
310,0.6795,0.2013,0.0808,0.0649,0.0719
311,0.6799,0.2276,0.0836,0.0812,0.0879
312,0.6806,0.1961,0.0752,0.0877,0.083
313,0.6811,0.2211,0.0548,0.0789,0.088
314,0.6805,0.2108,0.0526,0.083,0.0982
315,0.6811,0.1789,0.0574,0.1013,0.1179
316,0.6808,0.2083,0.0601,0.0968,0.0966
317,0.6819,0.1868,0.0728,0.0838,0.095
318,0.6829,0.2114,0.0685,0.0962,0.0989
319,0.6834,0.197,0.0666,0.0923,0.1008
320,0.6838,0.1692,0.0894,0.094,0.1012
321,0.684,0.1567,0.0947,0.1197,0.0925
322,0.6844,0.1136,0.0958,0.105,0.0957
323,0.6846,0.1532,0.0971,0.0998,0.1051
324,0.6852,0.154,0.1033,0.1056,0.1074
325,0.6855,0.1982,0.1112,0.0963,0.1254
326,0.6858,0.207,0.113,0.1064,0.1229
327,0.6857,0.2086,0.1192,0.0991,0.0966
328,0.6863,0.1798,0.119,0.0903,0.0837
329,0.6864,0.1859,0.1208,0.0993,0.0731
330,0.687,0.1523,0.126,0.0972,0.0793
331,0.6874,0.1482,0.1099,0.1021,0.0686
332,0.6881,0.1594,0.1243,0.103,0.0976
333,0.6886,0.1357,0.1092,0.093,0.1239
334,0.6885,0.135,0.1246,0.0673,0.1162
335,0.6889,0.167,0.1214,0.0748,0.0886
336,0.689,0.1475,0.1206,0.0701,0.0593
337,0.6891,0.1246,0.1579,0.0685,0.0605
338,0.6893,0.1378,0.1455,0.0707,0.0473
339,0.6906,0.1111,0.1355,0.0663,0.0685
340,0.6906,0.1319,0.1118,0.1061,0.0412
341,0.691,0.1617,0.1061,0.0871,0.0526
342,0.6914,0.0935,0.0806,0.0696,0.0768
343,0.6917,0.1342,0.0784,0.059,0.06
344,0.6915,0.0905,0.0979,0.1046,0.0659
345,0.6925,0.0678,0.0883,0.0931,0.0748
346,0.6929,0.083,0.0886,0.0568,0.1128
347,0.693,0.0703,0.0791,0.0396,0.0851
348,0.6935,0.112,0.0701,0.0652,0.1186
349,0.6935,0.1282,0.0566,0.0417,0.1375
350,0.6941,0.1157,0.0669,0.0629,0.0871